genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
WT,Female,14.5714,Left,DN,OFF sustained alpha,DJID_2291,300,91.2778,8,53,224,224,42,30,95,83,233.253012048193,NaN
WT,Female,14.5714,Left,DN,OFF sustained alpha,DJID_2291,266.666666666667,86.5,6,75.3333333333333,1200,160,30,1200,69.6666666666667,111.666666666667,4278,NaN
WT,Male,13.4286,Right,DT,OFF sustained alpha,DJID_2298,233.333333333333,78.6111,16.3333333333333,44,314,858,42,160,85.3333333333333,73.3333333333333,436.5,NaN
WT,Male,13.4286,Right,DT,OFF sustained alpha,DJID_2298,200,70.3889,6,63,858,59,30,858,69.3333333333333,85,1956,NaN
WT,Male,13.4286,Right,DN,OFF sustained alpha,DJID_2298,300,75.0278,3.5,51.5,614,314,42,439,50,85,824,NaN
WT,Male,13.4286,Right,DT,OFF sustained alpha,DJID_2298,266.666666666667,86.6111,17.6666666666667,62.6666666666667,314,858,59,59,82.6666666666667,94.3333333333333,473,NaN
WT,Male,13.4286,Right,DN,OFF sustained alpha,DJID_2298,466.666666666667,65.3889,3.33333333333333,45.3333333333333,858,59,59,314,100.333333333333,83,1468,NaN
WT,Male,13.4286,Right,DT,OFF sustained alpha,DJID_2297,233.333333333333,82.5556,27.6666666666667,64,224,1200,59,439,86,92.3333333333333,281.739130434783,NaN
WT,Male,13.4286,Right,DT,OFF sustained alpha,DJID_2297,300,78.6667,14.3333333333333,48.6666666666667,439,224,30,30,104,105,5061.50000000002,NaN
WT,Male,13.4286,Right,VN,OFF sustained alpha,DJID_2297,266.666666666667,75.8889,21,55,314,1200,42,42,78.6666666666667,81.6666666666667,1022.75,NaN
WT,Male,13.4286,Right,DN,OFF sustained alpha,DJID_2297,266.666666666667,90.3889,9.66666666666667,62.3333333333333,314,314,30,82,74.3333333333333,94.6666666666667,2547,NaN
WT,Male,13.4286,Right,DN,OFF sustained alpha,DJID_2297,266.666666666667,123.278,12,103.666666666667,314,1200,30,82,108.666666666667,145.333333333333,461.272727272727,NaN
WT,Male,13.4286,Right,VN,OFF sustained alpha,DJID_2297,266.666666666667,84.6111,28.6666666666667,56,439,1200,30,30,86,89,5814.00000000002,NaN
WT,Male,13.4286,Right,DN,OFF sustained alpha,DJID_2297,300,104.611,14.6666666666667,83.6666666666667,224,858,30,82,100,115.333333333333,298.105263157895,NaN
WT,Male,13.4286,Right,VN,OFF sustained alpha,DJID_2297,266.666666666667,72.2778,28.6666666666667,64.3333333333333,314,42,30,82,81,83,959,NaN
WT,Male,13.4286,Right,DN,OFF sustained alpha,DJID_2297,233.333333333333,121.056,14,112,314,439,42,160,116.666666666667,138.666666666667,2204,NaN
WT,Male,19,Left,VN,OFF sustained alpha,DJID_1256,266.666666666667,74.2778,4.66666666666667,66,314,439,30,82,65.3333333333333,89.3333333333333,629,NaN
WT,Male,19,Right,DN,OFF sustained alpha,DJID_1255,300,106.833,4.5,112.5,314,30,30,160,82.5,143.5,350.818181818182,NaN
WT,Male,19,Right,VN,OFF sustained alpha,DJID_1255,300,103.667,3,118.666666666667,439,30,30,160,64.3333333333333,153.333333333333,922.75,NaN
WT,Female,21,Left,DN,OFF sustained alpha,DJID_1972,166.666666666667,50.3889,9,35.6666666666667,115,314,30,160,54.6666666666667,76.6666666666667,337.75,NaN
WT,Female,21,Left,DT,OFF sustained alpha,DJID_1972,200,84.6111,25.6666666666667,82.3333333333333,224,224,30,1200,67.6666666666667,113.333333333333,378,NaN
WT,Female,23.7143,Left,DT,OFF sustained alpha,DJID_1393,300,81.8889,3,79.3333333333333,858,82,30,439,81.6666666666667,112,1956,NaN
WT,Male,55.5714,Left,DN,OFF sustained alpha,DJID_1832,300,89.7778,4.33333333333333,96.3333333333333,243,30,30,668,46.6666666666667,164.333333333333,312.55,NaN
WT,Male,37.4286,Left,DT,OFF sustained alpha,DJID_2927,300,109.167,8,101.666666666667,1200,42,42,314,110,167.333333333333,2372,NaN
WT,Male,37.4286,Right,DN,OFF sustained alpha,DJID_2927,200,59.1667,68,42,439,115,82,30,93.6666666666667,54.6666666666667,710.276595744681,NaN
